frameNo, fps, batches, triangles, vertices, shadowCasters, renderTextureChanges, frameTime, renderTime, renderTextureCount, renderTextureBytes, usedTextureMemorySize, usedTextureCount, screenRes, screenBytes, vboTotal, vboTotalBytes, vboUploads, vboUploadBytes, ibUploads, ibUploadBytes, visibleSkinnedMeshes, drawCalls
65,58.214332518462,105,76156,76554,84,34,0.0021722,0.0006265,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,152
66,61.3267411986675,105,76156,76554,84,34,0.0016389,0.0005697,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,152
67,60.6082640328885,105,76156,76554,84,34,0.0016943,0.0006019,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,152
68,55.3789571048223,105,76156,76554,84,34,0.0022451,0.0005543,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,152
69,67.9795804562742,105,76156,76554,84,34,0.0018687,0.0005815,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,152
70,53.57161757831,106,76156,76554,84,34,0.0025993,0.0006056,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,153
71,37.1374458083152,106,76156,76554,84,34,0.0018239,0.0006295,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,153
72,171.614899147609,106,76156,76554,84,34,0.0058272,0.0044513,34,289786030,0,0,1920x1080,24883200,0,0,14,476880,12,14400,2,153
73,63.9823885756467,106,76156,76554,84,34,0.0017242,0.000654,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,153
74,59.4555060121533,106,76156,76554,84,34,0.0015742,0.0005785,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,153
75,56.5083496689099,106,76156,76554,84,34,0.0017685,0.0006581,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,153
76,62.8251176469625,106,76156,76554,84,34,0.001552,0.0005524001,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,153
77,63.6160637782927,106,76156,76554,84,34,0.0021084,0.0005471,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,153
78,57.7070695366481,106,76156,76554,84,34,0.0022117,0.0006629,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,153
79,56.5582063303324,106,76156,76554,84,34,0.0018011,0.0005684,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,153
80,60.9161785865478,106,76156,76554,84,34,0.0022849,0.0006384,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,153
81,65.8067902828417,106,76156,76554,84,34,0.0022122,0.0007201,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,153
82,56.7556237256647,106,76156,76554,84,34,0.0019353,0.0006217,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,153
83,60.179334043553,106,76156,76554,84,34,0.0038588,0.0006637,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,153
84,59.8798804077451,106,76156,76554,84,34,0.0016219,0.0006044001,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,153
85,57.8181705787677,106,76156,76554,84,34,0.0017367,0.0006488,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,153
86,61.3843371933204,107,79531,81225,95,34,0.0017449,0.0005813,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,158
87,61.2253664882835,123,110619,115532,157,34,0.0017672,0.0006263,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,202
88,58.6444918980686,123,116918,122548,170,34,0.0015616,0.0005734001,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,211
89,59.2905327248684,378,542984,633229,852,34,0.0029968,0.0012566,34,289786030,0,0,1920x1080,24883200,0,0,13,156160,13,24036,2,687
90,61.3764283453966,106,74402,74863,83,34,0.0017786,0.0006497,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,151
91,60.4288000648331,107,79413,81128,93,34,0.0017862,0.0006468,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,153
92,60.4028898650183,129,119868,127039,178,34,0.0021169,0.0006560999,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,220
93,59.5542971823933,129,118290,125280,173,34,0.0019683,0.0008026999,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,214
94,58.2866036687048,129,118290,125280,173,34,0.0016591,0.0005955001,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,214
95,66.2400798131951,129,118290,125280,173,34,0.0017557,0.0006119,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,214
96,57.5774868301388,129,118290,125280,173,34,0.0016254,0.0005986,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,214
97,61.9348427226597,128,118290,125280,173,34,0.0021781,0.0006322,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,213
98,58.9946122880271,128,118290,125280,173,34,0.0023894,0.0006118,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,213
99,54.1157747210301,128,118290,125280,173,34,0.0024799,0.0006659999,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,213
100,67.5037143199682,128,118290,125280,173,34,0.0016706,0.0005983,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,213
101,54.3448706453168,128,118290,125280,173,34,0.0024568,0.0005816999,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,213
102,63.857366624065,128,118290,125280,173,34,0.0029841,0.00063,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,213
